 , 10cm, 15cm, 20cm, 25cm, 30cm, 35cm, 40cm, 50cm, 60cm, 70cm, 80cm, 90cm,100cm,120cm,140cm
0,601.0,851.0,809.0,727.0,636.0,558.0,478.0,366.0,304.0,259.0,226.0,211.0,179.0,150.0,124.0
1,595.0,857.0,807.0,740.0,638.0,554.0,479.0,369.0,307.0,259.0,227.0,204.0,183.0,151.0,118.0
2,600.0,856.0,813.0,727.0,639.0,554.0,478.0,371.0,305.0,286.0,225.0,198.0,178.0,142.0,116.0
3,603.0,855.0,813.0,733.0,638.0,557.0,476.0,376.0,308.0,257.0,228.0,204.0,185.0,151.0,118.0
4,601.0,858.0,809.0,733.0,636.0,553.0,475.0,370.0,307.0,252.0,228.0,204.0,186.0,152.0,123.0
5,602.0,853.0,812.0,734.0,642.0,552.0,477.0,370.0,305.0,257.0,224.0,202.0,178.0,151.0,123.0
6,601.0,860.0,809.0,733.0,639.0,550.0,475.0,369.0,303.0,255.0,226.0,202.0,184.0,153.0,124.0
7,605.0,858.0,812.0,732.0,637.0,553.0,478.0,370.0,303.0,258.0,227.0,213.0,182.0,149.0,122.0
8,605.0,855.0,810.0,734.0,638.0,551.0,478.0,370.0,303.0,256.0,227.0,201.0,175.0,152.0,129.0
9,601.0,865.0,811.0,729.0,639.0,552.0,479.0,370.0,310.0,258.0,224.0,205.0,177.0,150.0,117.0
10,597.0,857.0,810.0,725.0,637.0,553.0,478.0,371.0,303.0,257.0,223.0,206.0,186.0,142.0,125.0
11,593.0,855.0,813.0,729.0,638.0,559.0,480.0,371.0,302.0,255.0,224.0,205.0,186.0,150.0,127.0
12,602.0,854.0,810.0,735.0,640.0,554.0,480.0,368.0,305.0,255.0,224.0,206.0,182.0,155.0,118.0
13,594.0,862.0,808.0,728.0,639.0,553.0,480.0,370.0,302.0,258.0,226.0,205.0,187.0,151.0,122.0
14,592.0,861.0,810.0,733.0,639.0,560.0,476.0,369.0,304.0,258.0,228.0,205.0,186.0,139.0,118.0
15,600.0,853.0,807.0,731.0,641.0,552.0,478.0,370.0,307.0,260.0,227.0,203.0,185.0,150.0,117.0
16,604.0,854.0,813.0,720.0,640.0,549.0,477.0,370.0,306.0,257.0,227.0,207.0,183.0,141.0,118.0
17,603.0,854.0,812.0,738.0,640.0,555.0,478.0,370.0,306.0,259.0,225.0,203.0,178.0,149.0,117.0
18,607.0,856.0,812.0,728.0,637.0,551.0,477.0,371.0,307.0,259.0,224.0,199.0,185.0,150.0,125.0
19,606.0,859.0,811.0,735.0,646.0,552.0,481.0,371.0,311.0,258.0,228.0,202.0,177.0,155.0,125.0
20,605.0,856.0,816.0,736.0,638.0,552.0,478.0,371.0,303.0,256.0,232.0,200.0,190.0,151.0,116.0
21,611.0,858.0,809.0,739.0,638.0,553.0,479.0,371.0,301.0,257.0,225.0,203.0,186.0,148.0,125.0
22,593.0,856.0,807.0,729.0,638.0,553.0,481.0,376.0,304.0,262.0,223.0,203.0,181.0,142.0,144.0
23,601.0,860.0,812.0,729.0,649.0,552.0,479.0,370.0,303.0,260.0,228.0,210.0,179.0,148.0,122.0
24,605.0,853.0,810.0,728.0,639.0,559.0,480.0,377.0,305.0,258.0,226.0,203.0,186.0,151.0,117.0
25,604.0,851.0,814.0,731.0,641.0,552.0,481.0,368.0,303.0,258.0,226.0,199.0,176.0,142.0,126.0
26,604.0,854.0,813.0,734.0,639.0,554.0,478.0,367.0,308.0,258.0,222.0,203.0,178.0,148.0,123.0
27,604.0,853.0,813.0,734.0,637.0,553.0,477.0,373.0,304.0,259.0,232.0,200.0,184.0,150.0,122.0
28,598.0,860.0,814.0,728.0,640.0,555.0,484.0,369.0,301.0,256.0,231.0,203.0,185.0,149.0,124.0
29,605.0,856.0,812.0,728.0,638.0,554.0,479.0,368.0,302.0,258.0,227.0,203.0,182.0,142.0,127.0
30,604.0,856.0,811.0,729.0,639.0,555.0,481.0,370.0,303.0,258.0,225.0,201.0,182.0,151.0,125.0
31,603.0,855.0,813.0,732.0,639.0,554.0,481.0,372.0,303.0,260.0,230.0,205.0,180.0,144.0,118.0
32,603.0,858.0,811.0,732.0,644.0,553.0,477.0,371.0,304.0,259.0,230.0,208.0,181.0,150.0,119.0
33,596.0,857.0,806.0,734.0,638.0,553.0,476.0,372.0,309.0,253.0,225.0,203.0,186.0,142.0,125.0
34,601.0,858.0,811.0,727.0,635.0,552.0,478.0,370.0,303.0,258.0,226.0,201.0,178.0,140.0,125.0
35,603.0,857.0,809.0,733.0,638.0,549.0,476.0,377.0,301.0,257.0,226.0,205.0,177.0,141.0,116.0
36,604.0,860.0,812.0,727.0,638.0,549.0,479.0,368.0,305.0,258.0,227.0,204.0,179.0,147.0,122.0
37,598.0,852.0,809.0,727.0,640.0,550.0,477.0,367.0,303.0,264.0,225.0,206.0,179.0,150.0,119.0
38,605.0,859.0,813.0,735.0,640.0,554.0,480.0,370.0,305.0,259.0,223.0,208.0,185.0,151.0,115.0
