 , 10cm, 15cm, 20cm, 25cm, 30cm, 35cm, 40cm, 50cm, 60cm, 70cm, 80cm, 90cm,100cm,120cm,140cm
50,574.0,796.0,781.0,705.0,651.0,549.0,481.0,377.0,315.0,270.0,237.0,213.0,195.0,162.0,136.0
51,574.0,798.0,779.0,704.0,650.0,555.0,477.0,380.0,317.0,270.0,236.0,218.0,195.0,155.0,136.0
52,574.0,800.0,780.0,711.0,652.0,549.0,480.0,385.0,317.0,268.0,237.0,214.0,192.0,153.0,136.0
53,573.0,798.0,770.0,715.0,651.0,550.0,480.0,379.0,318.0,267.0,236.0,214.0,199.0,158.0,135.0
54,574.0,798.0,778.0,705.0,649.0,553.0,477.0,380.0,315.0,270.0,224.0,214.0,196.0,162.0,135.0
55,572.0,795.0,783.0,706.0,649.0,555.0,480.0,384.0,314.0,269.0,238.0,213.0,195.0,154.0,136.0
56,574.0,796.0,777.0,705.0,648.0,556.0,482.0,382.0,315.0,267.0,245.0,213.0,196.0,161.0,138.0
57,569.0,797.0,780.0,706.0,649.0,555.0,481.0,382.0,319.0,269.0,238.0,214.0,198.0,160.0,130.0
58,573.0,797.0,790.0,713.0,644.0,554.0,481.0,380.0,316.0,271.0,236.0,213.0,197.0,155.0,130.0
59,571.0,798.0,782.0,705.0,650.0,557.0,479.0,379.0,315.0,268.0,240.0,213.0,196.0,158.0,137.0
60,572.0,795.0,790.0,707.0,660.0,549.0,483.0,386.0,314.0,269.0,236.0,217.0,196.0,164.0,136.0
61,575.0,798.0,783.0,704.0,651.0,554.0,482.0,379.0,314.0,270.0,239.0,214.0,196.0,162.0,136.0
62,575.0,798.0,784.0,706.0,650.0,556.0,479.0,380.0,322.0,269.0,238.0,215.0,197.0,163.0,136.0
63,573.0,796.0,787.0,711.0,647.0,555.0,481.0,376.0,314.0,269.0,237.0,210.0,194.0,154.0,138.0
64,572.0,797.0,784.0,703.0,649.0,556.0,474.0,381.0,318.0,269.0,240.0,215.0,197.0,161.0,137.0
65,571.0,802.0,781.0,706.0,652.0,553.0,479.0,383.0,317.0,270.0,237.0,213.0,196.0,165.0,136.0
66,571.0,796.0,780.0,718.0,651.0,553.0,483.0,379.0,314.0,266.0,239.0,211.0,196.0,156.0,135.0
67,574.0,796.0,782.0,707.0,651.0,559.0,478.0,381.0,316.0,269.0,235.0,212.0,197.0,156.0,129.0
68,571.0,796.0,787.0,713.0,647.0,552.0,480.0,382.0,312.0,274.0,236.0,217.0,196.0,153.0,134.0
69,574.0,800.0,780.0,703.0,651.0,553.0,483.0,380.0,311.0,266.0,237.0,215.0,194.0,164.0,135.0
70,574.0,798.0,786.0,713.0,640.0,551.0,482.0,371.0,320.0,269.0,235.0,212.0,197.0,166.0,136.0
71,571.0,794.0,781.0,714.0,651.0,555.0,484.0,383.0,314.0,266.0,238.0,211.0,192.0,163.0,129.0
72,572.0,795.0,784.0,704.0,656.0,550.0,477.0,380.0,315.0,268.0,236.0,212.0,197.0,157.0,129.0
73,574.0,798.0,782.0,710.0,649.0,557.0,478.0,383.0,312.0,269.0,235.0,214.0,196.0,159.0,136.0
74,572.0,795.0,783.0,706.0,650.0,555.0,479.0,380.0,316.0,271.0,236.0,213.0,197.0,160.0,136.0
75,574.0,797.0,784.0,705.0,649.0,555.0,478.0,380.0,318.0,269.0,235.0,214.0,195.0,154.0,137.0
76,571.0,792.0,780.0,702.0,652.0,552.0,480.0,378.0,316.0,270.0,239.0,208.0,199.0,159.0,135.0
77,571.0,798.0,785.0,708.0,652.0,555.0,485.0,380.0,316.0,267.0,238.0,216.0,195.0,156.0,137.0
78,576.0,797.0,782.0,708.0,650.0,548.0,482.0,380.0,315.0,271.0,236.0,213.0,198.0,156.0,138.0
79,571.0,792.0,779.0,707.0,650.0,558.0,482.0,378.0,314.0,269.0,238.0,210.0,193.0,156.0,131.0
80,572.0,797.0,781.0,709.0,652.0,554.0,481.0,383.0,318.0,268.0,235.0,215.0,195.0,156.0,136.0
81,569.0,797.0,778.0,707.0,651.0,556.0,479.0,383.0,313.0,270.0,236.0,218.0,197.0,159.0,138.0
82,572.0,795.0,786.0,709.0,651.0,548.0,481.0,384.0,315.0,267.0,236.0,215.0,196.0,161.0,137.0
83,575.0,798.0,783.0,705.0,651.0,552.0,480.0,380.0,324.0,272.0,238.0,214.0,194.0,163.0,140.0
84,575.0,794.0,780.0,706.0,654.0,554.0,480.0,379.0,314.0,264.0,239.0,216.0,193.0,162.0,137.0
85,574.0,797.0,780.0,703.0,646.0,557.0,478.0,380.0,317.0,270.0,235.0,213.0,198.0,161.0,137.0
86,573.0,799.0,781.0,706.0,643.0,556.0,481.0,380.0,317.0,270.0,236.0,215.0,194.0,161.0,137.0
87,573.0,798.0,783.0,714.0,658.0,555.0,481.0,379.0,316.0,266.0,236.0,212.0,193.0,162.0,136.0
88,575.0,797.0,783.0,705.0,650.0,548.0,477.0,380.0,316.0,269.0,235.0,213.0,194.0,158.0,136.0
89,568.0,800.0,781.0,706.0,649.0,553.0,478.0,384.0,315.0,270.0,236.0,212.0,189.0,161.0,136.0
90,571.0,797.0,780.0,702.0,646.0,554.0,483.0,381.0,316.0,268.0,236.0,212.0,196.0,155.0,137.0
91,572.0,796.0,785.0,705.0,649.0,556.0,480.0,381.0,318.0,269.0,236.0,213.0,198.0,155.0,136.0
92,569.0,795.0,781.0,705.0,645.0,556.0,479.0,384.0,314.0,268.0,239.0,213.0,197.0,158.0,136.0
93,575.0,795.0,784.0,705.0,652.0,554.0,479.0,382.0,315.0,268.0,240.0,214.0,197.0,164.0,136.0
94,576.0,800.0,783.0,710.0,650.0,559.0,482.0,384.0,313.0,272.0,236.0,207.0,198.0,155.0,137.0
95,573.0,797.0,781.0,709.0,652.0,553.0,481.0,380.0,316.0,269.0,238.0,214.0,196.0,159.0,136.0
96,572.0,797.0,786.0,710.0,652.0,555.0,482.0,381.0,318.0,269.0,237.0,216.0,195.0,160.0,132.0
97,574.0,803.0,781.0,707.0,651.0,554.0,480.0,378.0,318.0,270.0,238.0,211.0,197.0,156.0,135.0
98,574.0,797.0,786.0,708.0,648.0,551.0,484.0,382.0,318.0,269.0,237.0,207.0,196.0,155.0,135.0
99,574.0,798.0,779.0,706.0,651.0,556.0,478.0,380.0,315.0,270.0,236.0,213.0,194.0,162.0,136.0
