desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0 0 0.518423641247 -0.424740291084 -1.7966996955390238
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390253
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390189
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390258
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390189
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390193
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390224
-220.8580201232423 220.8580201232423 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 0.518423641247 -0.424740291084 -1.7966996955390193
-188.5050789467717 188.5050789467717 -0.23964899999999995 0.27139899999999995 1.34069428597857 110.0 -110.0 0.328409561087 -0.543962899044 3.054897472809356
-160.85802012324228 160.85802012324228 -0.23964899999999995 0.27139899999999995 1.1440616329173454 94.0 -94.0 0.363647818112 -0.159839345364 -2.5226437455823945
-137.3286083585364 137.3286083585364 -0.23964899999999995 0.27139899999999995 0.9767146941418352 80.0 -80.0 0.139500525326 -0.357112349458 2.7044188236715336
-117.32860835853637 117.32860835853637 -0.23964899999999995 0.27139899999999995 0.8344697961826515 68.0 -68.0 -0.0339564157417 -0.0968057047903 1.4348841642212085
-100.26978482912462 100.26978482912462 -0.23964899999999995 0.27139899999999995 0.7131432655704066 58.0 -58.0 0.0448162956777 -0.18065850589 1.471402977075342
-85.56390247618344 85.56390247618344 -0.23964899999999995 0.27139899999999995 0.6085514288357128 50.0 -50.0 0.0527663286154 -0.194965581004 1.3818377180621941
-73.21096129971286 73.21096129971286 -0.23964899999999995 0.27139899999999995 0.5206942859785699 42.0 -42.0 -0.240976256553 0.122136422487 0.8816291062178906
-62.622726005595204 62.622726005595204 -0.23964899999999995 0.27139899999999995 0.4453881635295903 36.0 -36.0 -0.103159218475 -0.0310429774104 0.9225221738435739
-53.50507894677168 53.50507894677168 -0.23964899999999995 0.27139899999999995 0.38054122475408014 31.0 -31.0 -0.115145653455 -0.0225988624261 0.8488086819477716
-45.85802012324226 45.85802012324226 -0.23964899999999995 0.27139899999999995 0.32615346965203934 26.0 -26.0 -0.11802242728 -0.0209976153431 0.79264731331034
-39.387431887948146 39.387431887948146 -0.23964899999999995 0.27139899999999995 0.28013306148877404 22.0 -22.0 -0.117503112163 -0.0220307507711 0.7496120830295943
-33.7991965938305 33.7991965938305 -0.23964899999999995 0.27139899999999995 0.24038816352959036 19.0 -19.0 -0.127560091497 -0.0114139604559 0.6972731985490903
-29.093314240889324 29.093314240889324 -0.23964899999999995 0.27139899999999995 0.2069187757744883 16.0 -16.0 -0.181439708109 0.0459282013426 0.6046396037068289
-24.975667182065788 24.975667182065788 -0.23964899999999995 0.27139899999999995 0.177633061488774 14.0 -14.0 -0.276157780851 0.1489762459 0.4905926811430016
-21.446255417359907 21.446255417359907 -0.23964899999999995 0.27139899999999995 0.15253102067244748 12.0 -12.0 -0.306988786363 0.183370051667 0.4413410520655114
-18.505078946771672 18.505078946771672 -0.23964899999999995 0.27139899999999995 0.1316126533255087 10.0 -10.0 -0.309382141207 0.184946495078 0.4205653461345535
-15.858020123242257 15.858020123242257 -0.23964899999999995 0.27139899999999995 0.1127861227132638 9.0 -9.0 -0.308826463591 0.183622774454 0.4021927184798228
-13.799196593830493 13.799196593830493 -0.23964899999999995 0.27139899999999995 0.09814326557040665 7.0 -7.0 -0.210953419077 0.172782576189 -0.2151765493862268
-12.03449071147755 12.03449071147755 -0.23964899999999995 0.27139899999999995 0.08559224516224338 6.0 -6.0 -0.267060089444 0.173681929277 -0.18251547024629905
-10.26978482912461 10.26978482912461 -0.23964899999999995 0.27139899999999995 0.07304122475408012 6.0 -6.0 -0.286511479677 0.183164307418 -0.1936412903259223
-8.799196593830493 8.799196593830493 -0.23964899999999995 0.27139899999999995 0.06258204108061073 5.0 -5.0 -0.288117465867 0.185171049572 -0.20336632248328881
-7.622726005595196 7.622726005595196 -0.23964899999999995 0.27139899999999995 0.05421469414183522 4.0 -4.0 -0.2882748179 0.185286797731 -0.21175417382217146
0 0 -0.23964899999999995 0.27139899999999995 0.047939183937753586 3.0 -3.0 -0.28837362034 0.185358487017 -0.2180557580367908
214.1176470588236 -214.1176470588236 -0.23964899999999995 0.27139899999999995 0.047939183937753586 0.0 0.0 -0.28837362034 0.185358487017 -0.21805575803679075
182.64705882352948 -182.64705882352948 -0.23964899999999995 0.27139899999999995 0.2717657145499985 -107.0 107.0 -0.291110184518 0.186083341019 0.006196701651250831
155.88235294117652 -155.88235294117652 -0.23964899999999995 0.27139899999999995 0.4621228574071413 -91.0 91.0 -0.280907997971 0.175799883369 0.21177528648883506
133.23529411764707 -133.23529411764707 -0.23964899999999995 0.27139899999999995 0.62319428597857 -77.0 77.0 -0.29032347278 0.184560694873 0.3720650708049022
113.82352941176472 -113.82352941176472 -0.23964899999999995 0.27139899999999995 0.7612555104683659 -66.0 66.0 0.446845467104 -0.74758145361 -2.844214424137387
