desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0 0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
0 0 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
-220.8580201232423 220.8580201232423 -0.23964899999999995 0.27139899999999995 1.5707963267948966 0.0 0.0 -0.239649 0.271399 1.5707963267948966
-188.5050789467717 188.5050789467717 -0.23964899999999995 0.27139899999999995 1.34069428597857 110.0 -110.0 -0.239649 0.271399 1.5707963267948966
-160.85802012324228 160.85802012324228 -0.23964899999999995 0.27139899999999995 1.1440616329173454 94.0 -94.0 -0.239661790819 0.27128159695 1.3729527726312674
-137.3286083585364 137.3286083585364 -0.23964899999999995 0.27139899999999995 0.9767146941418352 80.0 -80.0 -0.236337657621 0.266606291382 1.1877601189859337
