alpha dTheta leftEnc rightEnc est_dist_traveled
1.0112 0.0 0 0 (0.0, 0.0, 0.0)
1.0112 0.04642338350542743 -1052.0 -1006.0 (-0.15265522302568402, 0.0, 0.04642338350542743)
1.0576 0.0020184079784968693 -435.0 -433.0 (-0.2169710523398714, -0.002987905160059404, 0.048441791483924294)
1.0596 0.012110447870981216 -798.0 -786.0 (-0.3343287865727661, -0.00867737506410236, 0.06055223935490551)
1.0693 0.007064427924738854 -662.0 -655.0 (-0.43184018824386106, -0.014589135866888777, 0.06761666727964437)
1.074 0.0 0.0 0.0 (-0.43184018824386106, -0.014589135866888777, 0.06761666727964437)
1.074 0.0 0.0 0.0 (-0.43184018824386106, -0.014589135866888777, 0.06761666727964437)
1.074 0.0 0.0 0.0 (-0.43184018824386106, -0.014589135866888777, 0.06761666727964437)
1.074 -0.0010092039892484219 1.0 0.0 (-0.43176618125402694, -0.014584124120627555, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43176618125402694, -0.014584124120627555, 0.06660746329039595)
1.0736 0.0 -1.0 -1.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
1.0736 0.0 0.0 0.0 (-0.43191420527406654, -0.014593998231772185, 0.06660746329039595)
