alpha dTheta leftEnc rightEnc est_dist_traveled
0.973 0.0 0 0 (0.0, 0.0, 0.0)
0.973 -0.015138059838726318 -89.0 -104.0 (-0.014316063189483488, 0.0, -0.015138059838726292)
0.973 -0.00908283590323577 -405.0 -414.0 (-0.07505965043742976, 0.0009196103058797005, -0.024220895741962067)
0.973 -0.011101243881732592 -645.0 -656.0 (-0.17153496247711356, 0.0032567858344114153, -0.03532213962369468)
0.973 0.004036815956993928 -1105.0 -1101.0 (-0.33506623824956877, 0.009035463852716688, -0.031285323666701004)
0.973 0.005046019946242362 -1152.0 -1147.0 (-0.5055145471353302, 0.014369734822311846, -0.026239303720458906)
0.973 0.005046019946242173 -968.0 -963.0 (-0.6487000496937155, 0.018127685202836828, -0.02119328377421681)
0.973 0.011101243881732592 -1162.0 -1151.0 (-0.8202317490932296, 0.02176354955667226, -0.010092039892484195)
0.973 0.011101243881732592 -1162.0 -1151.0 (-0.9917932408103491, 0.02349501375828252, 0.001009203989248397)
0.973 0.004036815956993739 -1171.0 -1167.0 (-1.1652177936189083, 0.02331999294833536, 0.0050460199462421355)
0.973 0.010092039892484158 -1170.0 -1160.0 (-1.3380468224605175, 0.022447886819550723, 0.015138059838726294)
0.973 0.004036815956993739 -1172.0 -1168.0 (-1.5115999288832211, 0.019820428802751578, 0.019174875795720032)
0.973 0.003027611967745304 -974.0 -971.0 (-1.655846686087697, 0.017054176112996044, 0.022202487763465336)
0.973 -0.007064427924739042 -969.0 -976.0 (-1.8000844070515174, 0.013851213560345561, 0.015138059838726294)
0.973 -0.006055223935490419 -971.0 -977.0 (-1.9445636597487084, 0.011663910903625589, 0.009082835903235876)
0.973 -0.0010092039892484347 -978.0 -979.0 (-2.0897210691630748, 0.010345433716373411, 0.00807363191398744)
0.973 -0.0010092039892484347 -1172.0 -1173.0 (-2.263659276632607, 0.008941090139994747, 0.007064427924739006)
0.973 0.0010092039892484347 -1173.0 -1172.0 (-2.437598812793649, 0.0077122863818362775, 0.00807363191398744)
0.973 0.0020184079784968693 -1172.0 -1170.0 (-2.6113144980361414, 0.006309739407047862, 0.01009203989248431)
0.973 -0.0020184079784968693 -977.0 -979.0 (-2.7563963302015915, 0.004845518058863815, 0.008073631913987439)
0.973 -0.003027611967745304 -1170.0 -1173.0 (-2.930186189519764, 0.0034423722168786504, 0.0050460199462421355)
0.973 0.0010092039892484347 -1169.0 -1168.0 (-3.1035344472033866, 0.0025676460267629, 0.006055223935490571)
0.973 0.0010092039892484347 -1170.0 -1169.0 (-3.277030084099731, 0.0015170782535463949, 0.007064427924739006)
0.973 0.0020184079784966807 -977.0 -975.0 (-3.4218189858423127, 0.0004942104770323938, 0.009082835903235687)
0.973 0.0030276119677451153 -978.0 -975.0 (-3.566679701522567, -0.0008215718156111677, 0.012110447870980801)
0.973 0.006055223935490419 -977.0 -971.0 (-3.7111649143340633, -0.0025714380011730605, 0.01816567180647122)
0.973 -0.0010092039892484347 -1172.0 -1173.0 (-3.8850800916883, -0.005731071593682623, 0.017156467817222788)
0.973 -0.0010092039892484347 -1172.0 -1173.0 (-4.05899836919116, -0.008715187716177323, 0.016147263827974354)
0.973 0.0020184079784966807 -978.0 -976.0 (-4.203920341818123, -0.011055484444600779, 0.018165671806471034)
0.973 0.0010092039892484347 -975.0 -974.0 (-4.348466474297188, -0.013681550914451984, 0.019174875795719467)
0.973 -0.0010092039892484347 -975.0 -976.0 (-4.4931582086447115, -0.016456337031528018, 0.018165671806471034)
0.973 -0.0040368159569935495 -975.0 -979.0 (-4.6380751623974525, -0.019089140459998644, 0.014128855849477484)
0.973 0.009082835903235723 -978.0 -969.0 (-4.782482379863703, -0.021129584995296432, 0.023211691752713207)

Ran for  -30300.0 ticks, and deviated by theta = 0.018165671806471603 .
505 +/- 1cm
20 +/- 0.5cm
