alpha dTheta leftEnc rightEnc est_dist_traveled
0.981 0.0 0 0 (0.0, 0.0, 0.0)
0.981 0.0 -98.0 -98.0 (-0.014538592669112765, 0.0, 0.0)
0.981 -0.021193283774216844 -407.0 -428.0 (-0.07647596449926153, 0.0, -0.02119328377421681)
0.9598 -0.003027611967745304 -702.0 -705.0 (-0.18081885297964034, 0.002211699587482253, -0.024220895741962067)
0.9567 0.005046019946242079 -727.0 -722.0 (-0.28826906600462254, 0.004814749042395747, -0.01917487579571997)
0.9618 0.01614726382797467 -725.0 -709.0 (-0.39461860319290964, 0.006854238172014986, -0.0030276119677452584)
0.9779 0.023211691752713714 -614.0 -591.0 (-0.48400086785077956, 0.00712485381305799, 0.020184079784968455)
1.0011 0.011101243881732592 -733.0 -722.0 (-0.5919056816864107, 0.0049465986284515755, 0.031285323666701045)
1.0122 0.003027611967745304 -611.0 -608.0 (-0.6822825796993481, 0.002118205278326954, 0.03431293563444635)
1.0153 -0.021193283774216937 -727.0 -748.0 (-0.7916285048711739, -0.0016352476066766285, 0.013119651860229415)
0.996 -0.025230099731210678 -723.0 -748.0 (-0.90073273591192, -0.003066739267312181, -0.012110447870981034)
0.975 -0.021193283774216937 -732.0 -753.0 (-1.0108767508118546, -0.0017327807018299114, -0.03330373164519784)
0.9587 -0.0030276119677453985 -740.0 -743.0 (-1.1208194911867182, 0.0019300771256923995, -0.0363313436129431)
0.9565 0.012110447870981027 -731.0 -719.0 (-1.2283044290447038, 0.005836868432095405, -0.024220895741962067)
0.9646 0.02119328377421675 -736.0 -715.0 (-1.3359029515424603, 0.00844351077790595, -0.0030276119677452584)
0.9778 0.022202487763465183 -735.0 -713.0 (-1.4433100214383903, 0.008768698701748498, 0.019174875795719925)
0.9909 0.01816567180647154 -737.0 -719.0 (-1.5512911414845172, 0.006697920338620461, 0.037340547602191465)
1.001 -0.0010092039892484347 -612.0 -613.0 (-1.6420940049030661, 0.003305714945508236, 0.03633134361294303)
1.0005 -0.007064427924738854 -734.0 -741.0 (-1.7514321313448102, -0.0006684348316948131, 0.02926691568820418)
0.9969 -0.01211044787098112 -612.0 -624.0 (-1.8430750144759076, -0.003351305415833147, 0.017156467817223058)
0.9912 -0.011101243881732592 -743.0 -754.0 (-1.9541008828860493, -0.005256304066312736, 0.0060552239354904665)
0.9861 -0.011101243881732592 -744.0 -755.0 (-2.065289407771736, -0.005929583712337326, -0.005046019946242097)
0.9813 0.0 -743.0 -743.0 (-2.1755142733762987, -0.005373382121189703, -0.005046019946242097)
0.9813 -0.0010092039892484347 -619.0 -620.0 (-2.2674177784126734, -0.004909631265582768, -0.006055223935490517)
0.9809 0.001009203989248529 -619.0 -618.0 (-2.359172418361702, -0.004354029583039457, -0.005046019946242097)
0.9813 0.004036815956993739 -621.0 -617.0 (-2.4510017478492183, -0.0038906530219083952, -0.0010092039892484195)
0.9828 -0.0010092039892483403 -734.0 -735.0 (-2.559966960884194, -0.003780684856890267, -0.002018407978496839)
0.9824 0.003027611967745304 -739.0 -736.0 (-2.6693770655014264, -0.003559850328911453, 0.001009203989248465)
0.9834 0.005046019946242079 -739.0 -734.0 (-2.7786389843581447, -0.00367011793073018, 0.006055223935490545)
0.9851 0.002018407978496964 -620.0 -618.0 (-2.8704677994405197, -0.0042261687658058655, 0.008073631913987508)
0.9858 0.003027611967745304 -617.0 -614.0 (-2.961776086602564, -0.004963374285005077, 0.011101243881732812)
0.9867 0.005046019946242079 -618.0 -613.0 (-3.053081723310381, -0.0059770220660627996, 0.016147263827974892)
0.9883 -0.004036815956993739 -606.0 -610.0 (-3.14326858038018, -0.007433419620700986, 0.012110447870981153)
0.9871 -0.006055223935490513 -607.0 -613.0 (-3.2337572660218767, -0.008529331708167913, 0.00605522393549064)
0.9853 -0.009082835903235723 -732.0 -741.0 (-3.3430172374405664, -0.009190933388350867, -0.0030276119677452584)
0.9828 0.0010092039892484347 -742.0 -741.0 (-3.453020472700003, -0.008857885259166821, -0.002018407978496839)
0.9831 -0.0010092039892484347 -733.0 -734.0 (-3.5618371665803283, -0.008638248477780434, -0.0030276119677452584)
0.9828 -0.0010092039892484347 -735.0 -736.0 (-3.6709502880008484, -0.008307895276142044, -0.004036815956993678)
0.9826 -0.0020184079784967748 -739.0 -741.0 (-3.780730603461626, -0.007864729939666727, -0.006055223935490517)
0.9821 0.004036815956993644 -618.0 -614.0 (-3.872114367743925, -0.007311374019785272, -0.002018407978496839)
0.983 -0.0020184079784968693 -613.0 -615.0 (-3.963202915859153, -0.007127519917847656, -0.004036815956993678)
0.9826 0.006055223935490608 -620.0 -614.0 (-4.054735962669017, -0.0067580158467594525, 0.00201840797849693)
0.984 0.004036815956993644 -747.0 -743.0 (-4.16525871241795, -0.006981096149599078, 0.006055223935490574)
0.9849 0.005046019946242079 -736.0 -731.0 (-4.274073633036564, -0.007640002914587797, 0.011101243881732652)
0.986 0.005046019946242079 -614.0 -609.0 (-4.364785894363664, -0.008647063220220273, 0.016147263827974732)
0.9871 0.0 -607.0 -607.0 (-4.454824417786966, -0.01010106538414358, 0.016147263827974732)
0.9871 0.0 -612.0 -612.0 (-4.5456046094427505, -0.011567044501641213, 0.016147263827974732)
0.9871 -0.005046019946242079 -610.0 -615.0 (-4.636458967921783, -0.01303422131449628, 0.011101243881732652)
0.9861 -0.004036815956993739 -606.0 -610.0 (-4.726652025790756, -0.014035517579131676, 0.007064427924738914)
0.9853 -0.0070644279247389485 -603.0 -610.0 (-4.816625866883866, -0.014671141868533043, 0.0)
