alpha dTheta leftEnc rightEnc est_dist_traveled
0.9411 0.0 0 0 (0.0, 0.0, 0.0)
0.9411 0.0070644279247389485 -97.0 -90.0 (-0.013871004230224934, 0.0, 0.0070644279247389485)
0.9411 0.0 -293.0 -293.0 (-0.05733734460991394, -0.0003070699370067622, 0.0070644279247389485)
0.9411 0.0 -244.0 -244.0 (-0.0935345700455594, -0.0005627868811352605, 0.0070644279247389485)
0.9411 0.0 -244.0 -244.0 (-0.12973179548120486, -0.0008185038252637587, 0.0070644279247389485)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.16600319555913648, -0.0010747447795236677, 0.008073631913987335)
0.9411 -0.0010092039892484347 -293.0 -294.0 (-0.20954337798327952, -0.001426279824015892, 0.0070644279247389)
0.9411 0.0 -293.0 -293.0 (-0.25300971836296854, -0.001733349761022652, 0.0070644279247389)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.28928111844090015, -0.001989590715282559, 0.008073631913987286)
0.9411 -0.0010092039892484347 -292.0 -293.0 (-0.33267295271368325, -0.002339928025381281, 0.007064427924738851)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.36894435279161486, -0.0025961689796411866, 0.008073631913987238)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-0.40521547579912076, -0.0028890150388519113, 0.0070644279247388505)
0.9411 0.0 -293.0 -293.0 (-0.44868181617880976, -0.003196084975858669, 0.0070644279247388505)
0.9411 0.0 -244.0 -244.0 (-0.4848790416144552, -0.0034518019199871637, 0.0070644279247388505)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.5211504416923868, -0.003708042874247069, 0.008073631913987238)
0.9411 -0.0010092039892484347 -293.0 -294.0 (-0.5646906241165298, -0.0040595779187392895, 0.007064427924738803)
0.9411 0.0 -244.0 -244.0 (-0.6008878495521752, -0.004315294862867782, 0.007064427924738803)
0.9411 0.0 -244.0 -244.0 (-0.6370850749878206, -0.004571011806996275, 0.007064427924738803)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.6733564750657522, -0.004827252761256179, 0.00807363191398719)
0.9411 0.0 -293.0 -293.0 (-0.7168224834142153, -0.005178188938551647, 0.00807363191398719)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-0.7530936064217212, -0.005471034997762371, 0.007064427924738802)
0.9411 0.0010092039892484347 -293.0 -292.0 (-0.7964857721591241, -0.005777580924637715, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-0.83275689516663, -0.0060704269838484405, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-0.8689541206022754, -0.006326143927976935, 0.007064427924738849)
0.9411 0.0 -245.0 -245.0 (-0.9052996953224932, -0.0065829088923682515, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-0.9414969207581386, -0.006838625836496746, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-0.9777683208360702, -0.007094866790756651, 0.008073631913987236)
0.9411 0.0 -244.0 -244.0 (-1.0139652697678962, -0.007387113982770626, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.0502363927754021, -0.007679960041981351, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.0864336182110477, -0.007935676986109846, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-1.1227050182889793, -0.00819191794036975, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.1589761412964852, -0.008484763999580475, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.1951733667321307, -0.00874048094370897, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.2313705921677762, -0.008996197887837466, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-1.2676419922457078, -0.009252438842097371, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.3039131152532137, -0.009545284901308095, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.3401103406888593, -0.00980100184543659, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-1.3763817407667909, -0.010057242799696496, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.4126528637742968, -0.01035008885890722, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.4488500892099423, -0.010605805803035715, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.4850473146455878, -0.010861522747164211, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.5212445400812333, -0.011117239691292706, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-1.557515940159165, -0.011373480645552611, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.5937870631666708, -0.011666326704763336, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.6299842886023164, -0.011922043648891831, 0.007064427924738849)
0.9411 0.0 -245.0 -245.0 (-1.666329863322534, -0.012178808613283148, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.7025270887581796, -0.012434525557411643, 0.007064427924738849)
0.9411 0.0 -244.0 -244.0 (-1.7387243141938251, -0.012690242501540138, 0.007064427924738849)
0.9411 0.0010092039892483874 -245.0 -244.0 (-1.7749957142717567, -0.012946483455800043, 0.008073631913987236)
0.9411 0.0 -244.0 -244.0 (-1.8111926632035826, -0.013238730647814018, 0.008073631913987236)
0.9411 -0.0010092039892483874 -244.0 -245.0 (-1.8474637862110885, -0.013531576707024743, 0.007064427924738849)
