desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.139649 0.271399 1.57079632679 -0.1 -5.55111512313e-17 0.0 6.66666673354e-05 -1.81086284968e-33 1.77678394685e-21 -1.81086284968e-33 0.0002 0.0 1.77678394685e-21 0.0 0.0002
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.139649 0.271399 1.34069428598 -0.1 -5.55111512313e-17 0.0 0.000188600448988 -1.89997178973e-05 1.62500610086e-05 -1.89997178973e-05 0.000163426175997 2.77152441076e-06 1.62500610086e-05 2.77152441076e-06 0.000297629573186
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.139649 0.271399 1.14406163292 -0.1 -1.11022302463e-16 0.0 1.74831505124e-05 6.91224154228e-06 -3.13807178918e-05 6.91224154228e-06 0.000294274067679 1.42087666548e-05 -3.13807178918e-05 1.42087666548e-05 7.78228625678e-05
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.142646362494 0.270653803279 0.974680630078 -0.0970026375061 0.000745196721029 0.00203406406354 0.000271246503538 -0.000166671208102 -4.13450844758e-05 -0.000166671208102 -0.000174072212929 5.46858804659e-05 -4.13450844758e-05 5.46858804659e-05 0.000146162970006
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.16591923758 0.271243774874 0.826895099175 -0.0737297624202 0.000155225125878 0.0075746970073 -0.000114683257763 0.000140507685352 -6.39968723618e-05 0.000140507685352 0.00024081117685 7.54247827624e-05 -6.39968723618e-05 7.54247827624e-05 0.000239935076493
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.190327932365 0.272949697843 0.701636992622 -0.0493210676351 -0.0015506978432 0.0115062729486 -2.31869150732e-05 8.3743578835e-05 -2.74473563834e-06 8.3743578835e-05 0.000157027723797 0.000104099885487 -2.74473563834e-06 0.000104099885487 0.000344533344999
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.202858016416 0.247810548374 0.58152272097 -0.0367909835836 0.0235884516262 0.0270287078655 1.47460439321e-05 4.16746225729e-05 -6.93987223396e-05 4.16746225729e-05 0.000108419815007 7.70884133927e-05 -6.93987223396e-05 7.70884133927e-05 0.000415844955062
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.216104466107 0.257600774553 0.491921486906 -0.0235445338932 0.013798225447 0.0287727990721 2.95153525341e-05 3.66101942236e-05 8.12452378737e-06 3.66101942236e-05 9.52408345294e-05 9.07515274928e-05 8.12452378737e-06 9.07515274928e-05 0.000490148145637
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.227228800065 0.276400187502 0.414315188862 -0.0124201999354 -0.00500118750212 0.031072974668 4.1698807132e-05 1.50127581978e-05 -7.52961655546e-05 1.50127581978e-05 7.71367573403e-05 6.4433243365e-05 -7.52961655546e-05 6.4433243365e-05 0.000560545751879
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.228115382562 0.270127499314 0.346668177576 -0.0115336174378 0.0012715006863 0.0338730471778 5.01060557298e-05 1.53464020385e-05 4.5949227278e-06 1.53464020385e-05 7.0042870442e-05 6.10281733463e-05 4.5949227278e-06 6.10281733463e-05 0.000622987836531
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.221940710998 0.272050194368 0.294971521742 -0.0177082890017 -0.000651194368144 0.0311819479104 5.82421000285e-05 6.2804858627e-06 -5.11176389725e-05 6.2804858627e-06 6.31398188452e-05 5.06102415662e-05 -5.11176389725e-05 5.06102415662e-05 0.000708049726085
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.221547620539 0.27458465769 0.24951309125 -0.0181013794613 -0.00318565768993 0.0306199702392 6.13200623574e-05 3.08214085264e-06 -1.00705844759e-05 3.08214085264e-06 6.09176669003e-05 4.74538745112e-05 -1.00705844759e-05 4.74538745112e-05 0.000783201759271
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.230493175444 0.26523224127 0.207006775388 -0.00915582455597 0.00616675872966 0.0333813881413 6.23390264966e-05 -4.51896010632e-07 -2.8475357284e-05 -4.51896010632e-07 6.09640246266e-05 4.46110004015e-05 -2.8475357284e-05 4.46110004015e-05 0.00087556963749
