desired_tick_rate_L desired_tick_rate_R state_est_x state_est_y state_est_theta deltaleftEnc deltarightEnc
-25 25 0.0 0.0 0.0 0 0
-25 25 0.0 0.0 0.0 0.0 0.0
-25 25 -0.000630984126144 0.0 -0.0107310225535 1.0 -9.0
-25 25 -0.0013408003967 7.6173468019e-06 -0.13843019094 55.0 -64.0
-25 25 -0.00212198542925 0.000116453032882 -0.333734801413 86.0 -96.0
-25 25 -0.00227102790425 0.0001681265378 -0.565524888568 107.0 -109.0
-25 25 -0.0022044348294 0.000125861717937 -0.80482669151 112.0 -111.0
-25 25 -0.00204040195187 -4.46721163476e-05 -1.05056710798 116.0 -113.0
-25 25 -0.00184437133499 -0.000386864770645 -1.30274613799 120.0 -115.0
-25 25 -0.001865260992 -0.000310808378104 -1.55063275898 115.0 -116.0
-25 25 -0.00186685124564 -0.000231951395473 -1.80066558447 116.0 -117.0
-25 25 -0.00201062111897 -0.000846338236939 -2.08181837537 135.0 -127.0
-25 25 -0.00193347242838 -0.000708745032145 -2.32648568959 113.0 -115.0
-25 25 -0.00209574353476 -0.000880956128136 -2.62373501432 140.0 -137.0
-25 25 -0.00195868089726 -0.000802868716431 -2.8791333511 118.0 -120.0
-25 25 -0.00226336887705 -0.000884725156817 3.12075296067 134.0 -130.0
0 0 -0.00226336887705 -0.000884725156817 2.87823185096 113.0 -113.0
