
 1 , 4.970, 37.0, -31667, -31583 
 2 , 4.980,  6.0, -31648, -31620 
 3 , 5.000,  2.5, -31692, -31688 
 4 , 4.960, 10.5, -31361, -31370 
 5 , 4.965,  4.5, -31550, -31551 

 1 , 4.515, 1.0, -28404, -28404 
 2 , 4.470, 17.0, -28182, -28146 
 3 , 4.495, 10.0, -28310, -28360 
 4 , 4.475, 5.5, -28150, -28155 
 5 , 4.525, 2.0, -28479 , -28485 

 1 , 4.035, 9.0, -25242, -25219
 2 , 4.005, 0.5, -25087, -25080
 3 , 4.035, 12.0, -25269, -25265
 4 , 3.985, 2.0, -24964, -24949
 5 , 4.030, 1.0, -25188, -25186

 1 , 3.555, 1.0, -22067, -22069
 2 , 3.525, 3.0, -21859, -21845
 3 , 3.510, 8.0, -21694, -21688
 4 , 3.525, 8.0, -21956, -21947
 5 , 3.510, 0.5, -21842, -21845

 1 , 3.030, 2.0, -18702, -18701
 2 , 3.045, 7.0, -18807, -18809
 3 , 3.065, 0.5, -18848, -18848
 4 , 3.035, 1.0, -18674, -18867
 5 , 3.040, 3.0, -18759, -18754

 1 , 2.530, 3.5, -15248, -15434
 2 , 2.605, 0.5, -15843, -15839
 3 , 2.570, 1.0, -15540, -15537
 4 , 2.509, 1.5, -15722, -15725
 5 , 2.600, 3.0, -15699, -15703

 1 , 2.075, 3.0, -12381, -12388
 2 , 2.115, 1.0, -12646, -12639
 3 , 2.130, 2.0, -12643, -12641
 4 , 2.070, 0.0, -12287, -12279
 5 , 2.115, 2, -12662, -12654

 1 , 1.610, 1, -9321, -9316
 2 , 1.600, 1, -9319, -9322
 3 , 1.630, 1.5, -9503, -9502
 4 , 1.620, 0.5, -9398, -9405
 5 , 1.615, 1.5, -9308, -9312

 1 , 1.165, 0.5, -6273, -6279  
 2 , 1.145, 0.5, -6273, -6263  
 3 , 1.110, 0.5, -5932, -5935
 4 , 1.120, 0.5, -6069, -6061
 5 , 1.150, 0.5, -6298, -6300

 1 , 0.655, 2.0, -3077, -3100 
 2 , 0.625, 1.0, -2838, -2851 
 3 , 0.630, 0.0, -2885, -2893 
 4 , 0.610, 1.0, -2715, -2707 
 5 , 0.665, 0.0, -3085, -3091 

